feature,importance
PRR9,0.5862564842365651
GSTA1,0.5247698909113014
MMP13,0.4286772002324883
FGF3,0.42374427749864696
MYBPH,0.365957762999866
LCE2B,0.34457482493875574
CASP14,0.34036008074687757
SPINK6,0.2969344655279741
MYH2,0.2197295796043397
SAGE1,0.20386134905411346
LCE6A,0.18338311374012192
SPIB,0.18098503196481455
C8G,0.17581210332217814
MAGEA12,0.16496486899977675
DRGX,0.15247639322270384
IGFL3,0.15072276781244803
ASCL4,0.1479686499703794
LCE2A,0.1471843173444106
LCE1A,0.14341047126428422
NKX2-4,0.1344798028718902
FRMD1,0.13088025951122823
C1QL2,0.12035034043318267
SHCBP1L,0.11269787574424364
MAJIN,0.11183716468054636
ZPBP2,0.10967825848958204
NOS2,0.10756144724234676
SOX14,0.10629918171151322
SPANXD,0.09626308243631716
PNLIPRP3,0.09388346051459942
MYH6,0.08499895389311693
TCHHL1,0.08403879848229415
SPANXB1,0.08283751031792339
MAGEC1,0.0801963992688393
TAF7L,0.0789853144356846
BRDT,0.07897790680362134
COX7B2,0.07464183526549517
DSC1,0.07266638272958358
PGC,0.07055486579261078
UGT2B28,0.06410652214076792
CSH2,0.05738101034687635
HBE1,0.05597974040979492
GKN1,0.05532269516244403
OR51B4,0.053512633061305284
GBX1,0.05265211333610338
MAGEB2,0.04057185705797487
ZFR2,0.03740317792237791
CGB8,0.035098998340502854
IL17REL,0.029150708381329413
ACTA1,0.024248938698571212
FEZF2,0.024164577027468027
LCN1,0.019486349894791866
PPP1R3A,0.012032978989335011
FAM133A,0.011359791533283179
ZNF541,0.008562895452213075
KEL,0.0037226970694415468
