feature,importance
MMP13,0.07030071384786163
PRR9,0.05764709410637875
GSTA1,0.05219626756034865
IL17REL,0.050692279407092124
LCE6A,0.041843284665974353
FGF3,0.039430643632974716
SOX14,0.037492108848292
LCE2B,0.03577173698290905
TCHHL1,0.035694252228633615
ACTA1,0.03282640301810386
NKX2-4,0.028757155298766834
ASCL4,0.02781944528348208
MAGEA12,0.027731222732070165
TAF7L,0.027360126235396843
C8G,0.026448741859381255
ZFR2,0.025602611566808386
MAGEB2,0.025058971129370496
DSC1,0.024165797373482678
SPINK6,0.023496788969680805
LCN1,0.02125248513884799
GBX1,0.01899090064135366
MAJIN,0.018525694273797605
KEL,0.016691225633597557
CGB8,0.016652823621376017
CASP14,0.016479019104606297
MYH2,0.01616810267061031
FAM133A,0.015947085688640256
LCE2A,0.014113524673255759
SPIB,0.01376494150754488
LCE1A,0.013288614558868508
FEZF2,0.013150412881060794
PNLIPRP3,0.013138594835090545
MYH6,0.01218437872820209
ZNF541,0.011169921989141044
DRGX,0.010740180575358615
FRMD1,0.01062021442348662
PGC,0.009119724363504418
IGFL3,0.008550706609773959
GKN1,0.007972258856214276
NOS2,0.00678286145476563
SHCBP1L,0.006580534690733283
BRDT,0.005885791366906475
MYBPH,0.00564201587789617
SPANXB1,0.0036519774011299615
C1QL2,0.0026003636872290003
SPANXD,7.854679473684927e-18
ZPBP2,3.660983362193693e-18
PPP1R3A,0.0
UGT2B28,0.0
SAGE1,0.0
CSH2,0.0
MAGEC1,0.0
COX7B2,0.0
OR51B4,0.0
HBE1,0.0
